BookID,MemberID,CheckoutDate,ReturnDate,ReservedID
1,1024,2024-03-01,2024-03-10,0
5,1099,2024-03-05,2024-03-12,0
2,1050,2024-04-10,2024-04-20,0
10,2001,2024-05-01,2024-05-05,0
15,1024,2024-05-02,2024-05-15,0
22,3055,2024-06-01,2024-06-08,0
7,4012,2024-06-10,2024-06-25,0
3,1099,2024-07-01,2024-07-03,0
4,5005,2024-07-05,2024-07-12,0
8,1050,2024-07-15,2024-07-22,0
12,6001,2024-08-01,2024-08-10,0
18,7022,2024-08-05,2024-08-15,0
25,1024,2024-08-10,2024-08-20,0
6,2001,2024-08-15,2024-08-25,0
9,3055,2024-09-01,2024-09-05,0
11,4012,2024-09-05,2024-09-15,0
13,5005,2024-09-10,2024-09-18,0
14,6001,2024-09-15,2024-09-22,0
16,7022,2024-10-01,2024-10-10,0
17,1099,2024-10-05,2024-10-12,0
19,1050,2024-10-10,2024-10-20,0
20,2001,2024-10-15,2024-10-25,0
21,3055,2024-11-01,2024-11-08,0
23,4012,2024-11-05,2024-11-15,0
24,5005,2024-11-10,2024-11-18,0
1,6001,2024-11-15,2024-11-22,0
2,7022,2024-12-01,2024-12-10,0
5,1024,2024-12-05,2024-12-15,0
8,1099,2024-12-10,2024-12-20,0
10,1050,2024-12-15,2024-12-25,0
3,2001,2025-01-05,2025-01-12,0
6,3055,2025-01-08,2025-01-15,0
9,4012,2025-01-10,2025-01-20,0
12,5005,2025-01-12,2025-01-18,0
15,6001,2025-01-15,2025-01-25,0
18,7022,2025-02-01,2025-02-10,0
21,1024,2025-02-05,2025-02-12,0
24,1099,2025-02-10,2025-02-18,0
4,1050,2025-02-15,2025-02-22,0
7,2001,2025-02-20,2025-02-28,0
11,3055,2025-03-01,2025-03-10,0
14,4012,2025-03-05,2025-03-15,0
17,5005,2025-03-10,2025-03-18,0
20,6001,2025-03-15,2025-03-25,0
23,7022,2025-04-01,2025-04-08,0
1,1024,2025-04-05,2025-04-12,0
5,1099,2025-04-10,2025-04-20,0
2,1050,2025-04-15,2025-04-22,0
8,2001,2025-05-01,2025-05-10,0
13,3055,2025-05-05,2025-05-15,0
16,4012,2025-05-10,2025-05-18,0
19,5005,2025-05-15,2025-05-22,0
22,6001,2025-06-01,2025-06-10,0
25,7022,2025-06-05,2025-06-15,0
3,1024,2025-06-10,2025-06-18,0
6,1099,2025-06-15,2025-06-25,0
25,9999,2025-11-01,0,0
24,8888,2025-11-10,0,1024
23,7777,2025-11-15,0,0
22,6666,2025-12-01,0,3055
21,5555,2025-12-05,0,0
15,4444,2025-12-10,0,1099
12,3333,2025-12-15,0,0
8,2222,2025-12-20,0,0
5,1111,2025-12-25,0,2001
